file,question,answer
2435100235.csv,Chiếc xe kéo trong ảnh có màu gì?,Chiếc xe kéo có mái che màu đỏ.
2435100235.csv,Các tòa nhà ở phía sau có màu gì?,Các tòa nhà ở phía sau có màu xám nhạt.
2435100235.csv,Người đàn ông mặc áo gì?,Người đàn ông mặc áo ghi lê màu sáng bên ngoài áo sơ mi trắng.
2435100235.csv,"Ngoài người đàn ông đạp xe, có phương tiện gì khác trong ảnh?",Có một chiếc xe kéo.
2435100235.csv,Có bao nhiêu người có thể được nhìn thấy trong bức ảnh?,Có ít nhất ba người có thể được nhìn thấy.
2435100235.csv,Loại phương tiện giao thông nào được sử dụng nhiều nhất trong ảnh?,Xe đạp là phương tiện giao thông được sử dụng nhiều nhất.
2435100235.csv,Màu sắc chủ đạo của tòa nhà phía sau là gì?,Màu sắc chủ đạo của tòa nhà là xám nhạt.
2435100235.csv,Người đàn ông ở phía trước mặc áo gì?,Người đàn ông ở phía trước mặc áo khoác màu be.
2435100235.csv,Có xe xích lô trong ảnh không?,"Có, có một chiếc xe xích lô trong ảnh."
2435100235.csv,Có bao nhiêu người đàn ông trong ảnh được nhìn thấy rõ?,"Ít nhất là hai người đàn ông, một người đạp xích lô và một người đi xe đạp."
2435100235.csv,Màu sắc chính của mái che xích lô trong ảnh là gì?,Màu đỏ.
2435100235.csv,Kiến trúc của các tòa nhà trong ảnh có vẻ như thế nào?,Kiến trúc truyền thống với các cửa sổ nhỏ và chi tiết trang trí.
2435100235.csv,Góc nhìn của bức ảnh là từ đâu?,Từ phía sau một chiếc xích lô.
2435100235.csv,Thời tiết trong ảnh có vẻ như thế nào?,Trời âm u hoặc có mây.
2435100235.csv,Có những loại xe nào trong ảnh?,Có xe taxi và xe hơi.
2435100235.csv,Người đàn ông đi xe đạp mặc áo gì?,Ông ấy mặc áo khoác ngoài màu sáng.
2435100235.csv,Có bao nhiêu người có thể nhìn thấy rõ trong ảnh?,"Có thể nhìn thấy một số người, nhưng không rõ số lượng chính xác."
2435100235.csv,Kiến trúc trong ảnh gợi ý về địa điểm nào?,Kiến trúc gợi ý về một khu đô thị.
2435100235.csv,Người đàn ông đang mặc áo màu gì?,Áo sơ mi trắng và áo khoác ngoài màu be.
2435100235.csv,Phương tiện mà người đàn ông đang lái có màu gì?,Màu vàng.
2435100235.csv,Trong ảnh có loại phương tiện giao thông nào khác không?,"Có, có một chiếc taxi màu xanh lá cây và vàng."
2435100235.csv,Người đàn ông trong ảnh đang di chuyển theo hướng nào so với người chụp ảnh?,Anh ta đang đi ra xa người chụp ảnh.
2435100235.csv,Khu vực xung quanh có vẻ như là khu vực nào?,Có vẻ như là khu dân cư hoặc thành thị.
2435100235.csv,Mấy người đang đi xe đạp trong ảnh?,Ít nhất có ba người đang đi xe đạp trong ảnh.
2435100235.csv,Người ở phía trước mặc áo gì?,"Người ở phía trước mặc áo sơ mi trắng, quần jean xanh và áo gile màu be nhạt."
2435100235.csv,Có xe màu gì đỗ bên đường?,Có một chiếc xe màu vàng đỗ bên đường.
2435100235.csv,Cửa của tòa nhà nhỏ phía sau có màu gì?,Cửa của tòa nhà nhỏ phía sau có màu đỏ.
2435100235.csv,Bối cảnh chung của bức ảnh là ở đâu?,"Bối cảnh chung của bức ảnh là trên đường phố, có lẽ ở khu vực thành thị hoặc ngoại ô."
2435100235.csv,Người đàn ông mặc quần áo màu gì?,"Người đàn ông mặc quần jean xanh, áo phông trắng và áo gile nâu nhạt."
2435100235.csv,Có phương tiện giao thông nào khác ngoài xe đạp trong ảnh không?,"Có, có một chiếc taxi màu vàng và xanh lá cây."
2435100235.csv,Cửa của tòa nhà phía sau có màu gì?,Cửa của tòa nhà phía sau có màu đỏ.
2435100235.csv,Người đàn ông đang được nhìn từ góc độ nào?,Người đàn ông đang được nhìn từ phía sau.
2435100235.csv,Người đàn ông nào đang đạp xe?,Người đàn ông mặc áo gile màu be đang đạp xe.
2435100235.csv,Chiếc taxi trong ảnh có màu gì?,Chiếc taxi có màu xanh lá cây và vàng.
2435100235.csv,Người ở gần máy ảnh hơn mặc áo gile màu gì?,Người ở gần máy ảnh hơn mặc áo gile màu vàng.
2435100235.csv,Trong ảnh có những loại phương tiện nào?,Trong ảnh có xe đạp và taxi.
2435100235.csv,Khung cảnh trong ảnh diễn ra ở đâu?,"Khung cảnh diễn ra trên đường phố, có vẻ như ở ngoài trời."
2435100235.csv,Người đàn ông mặc áo màu gì?,Người đàn ông mặc áo màu trắng.
2435100235.csv,Có bao nhiêu chiếc xe taxi trong ảnh?,Có một chiếc xe taxi trong ảnh.
2435100235.csv,Chiếc xe taxi có màu gì?,Chiếc xe taxi có màu xanh lá cây và vàng.
2435100235.csv,Người đàn ông đang làm gì?,Người đàn ông đang đi xe đạp.
2435100235.csv,"Ngoài người đàn ông đi xe đạp, có bao nhiêu người nữa trong ảnh?",Có một người nữa trong ảnh.
2435100235.csv,Người đàn ông mặc trang phục gì?,Người đàn ông mặc áo ghi lê màu sáng bên ngoài áo sơ mi trắng và quần jean xanh.
2435100235.csv,Màu sắc của chiếc taxi phía sau người đàn ông là gì?,Chiếc taxi có màu xanh lá cây và vàng.
2435100235.csv,Có ai khác xuất hiện trong ảnh ngoài người đàn ông đang đạp xe không?,"Có, có một người khác được nhìn thấy một phần ở phía bên phải của khung hình."
2435100235.csv,Người đàn ông đạp xe đang ở đâu?,Người đàn ông đang đạp xe trên đường.
2435100235.csv,Có bao nhiêu người đàn ông trong bức ảnh?,Có hai người đàn ông trong bức ảnh.
2435100235.csv,Người đàn ông phía trước đang mặc áo màu gì?,Người đàn ông phía trước đang mặc áo vest màu be nhạt.
2435100235.csv,Phương tiện nào đang đỗ bên đường?,Một chiếc xe hơi màu vàng và xanh lá cây đang đỗ bên đường.
2435100235.csv,Người đàn ông phía trước đang làm gì?,Người đàn ông phía trước đang lái xích lô.
2435100235.csv,Các tòa nhà phía sau được xây bằng vật liệu gì?,Các tòa nhà phía sau được xây bằng gạch và xi măng.
2435100235.csv,Người đàn ông ở tiền cảnh mặc áo khoác màu gì?,Màu vàng.
2435100235.csv,Người đàn ông đi xe đạp mặc áo khoác màu gì?,Màu sáng.
2435100235.csv,Phương tiện giao thông nào xuất hiện trong ảnh?,Xe đạp và xe ô tô.
2435100235.csv,Chiếc xe ô tô có màu gì?,Màu xanh lá cây và màu vàng.
2435100235.csv,Có bao nhiêu người mặc áo khoác xuất hiện trong ảnh?,Hai người.
2435100235.csv,Người đàn ông bên trái mặc áo gì?,Người đàn ông bên trái mặc áo sơ mi trắng và жиlét màu be nhạt.
2435100235.csv,Xe taxi có màu gì?,Xe taxi có màu vàng và xanh lá cây.
2435100235.csv,Phía sau người đàn ông mặc áo vàng có phương tiện gì?,Phía sau người đàn ông mặc áo vàng dường như là một chiếc xe xích lô có mái che màu đỏ.
2435100235.csv,Trên tường của tòa nhà phía sau có gì?,Trên tường của tòa nhà phía sau có một máy điều hòa không khí.
2435100235.csv,Có bao nhiêu người có thể nhìn thấy trong ảnh?,Có thể nhìn thấy hai người trong ảnh.
2435100235.csv,Người đàn ông đang mặc áo màu gì?,Người đàn ông đang mặc áo gile màu be nhạt.
2435100235.csv,Màu của cánh cửa của tòa nhà phía sau là màu gì?,Cánh cửa của tòa nhà phía sau có màu đỏ.
2435100235.csv,Trên tường của tòa nhà có gì?,Trên tường của tòa nhà có một máy điều hòa.
2435100235.csv,Người ở gần máy ảnh nhất đang mặc áo màu gì?,Người ở gần máy ảnh nhất đang mặc áo màu vàng.
2435100235.csv,Loại phương tiện giao thông nào được thấy trong ảnh?,Trong ảnh có một chiếc xe đạp và một chiếc xe có màu xanh lá cây và vàng.
2435100235.csv,Người đàn ông mặc trang phục gì?,"Người đàn ông mặc áo sơ mi trắng, áo жиlê màu nâu nhạt và quần jean xanh."
2435100235.csv,Chiếc xe bên cạnh người đàn ông có màu gì?,Chiếc xe có màu vàng và xanh lá cây.
2435100235.csv,Phía sau người đàn ông là loại công trình gì?,Phía sau người đàn ông là các tòa nhà.
2435100235.csv,Trên chiếc xe đạp có gì?,Trên chiếc xe đạp có một cái giỏ ở phía trước.
2435100235.csv,Người đàn ông mặc quần áo màu gì?,"Anh ấy mặc áo sơ mi trắng, quần jean xanh và áo жи lê màu be nhạt."
2435100235.csv,Có gì ở phía sau người đàn ông?,Có một tòa nhà với cửa màu đỏ và một cửa sổ.
2435100235.csv,Người đàn ông có mang gì trên xe đạp không?,"Có, anh ấy đang mang thứ gì đó trong giỏ xe đạp."
2435100235.csv,"Ngoài người đàn ông đang đạp xe, còn có phương tiện gì khác trong ảnh?",Có một chiếc xe đạp hoặc xe kéo khác có mái che màu đỏ.
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Anh ấy đang đi xe đạp.
2435100235.csv,Người đàn ông mặc trang phục gì?,Anh ấy mặc áo gile sáng màu bên ngoài áo sơ mi trắng và quần jean xanh.
2435100235.csv,Ở phía trước xe đạp có gì?,Có một cái giỏ.
2435100235.csv,Màu của bức tường phía sau người đàn ông là gì?,Màu xám.
2435100235.csv,Có những thiết bị gì được gắn lên tường?,Có một máy điều hòa.
2435100235.csv,Người đàn ông đang làm gì?,Người đàn ông đang đạp xe đạp.
2435100235.csv,Chiếc xe đạp có gì ở phía trước?,Chiếc xe đạp có một chiếc hộp trong giỏ phía trước.
2435100235.csv,Có bao nhiêu chiếc xích lô trong ảnh?,Có vài chiếc xích lô trong ảnh.
2435100235.csv,Một trong số những chiếc xích lô có màu gì?,Một trong số những chiếc xích lô có mái che màu đỏ.
2435100235.csv,Dòng chữ nào xuất hiện trên áo gile của người bên phải?,Dòng chữ 'Beijing Hutong Tourist Agency' xuất hiện trên áo gile.
2435100235.csv,Có bao nhiêu người trong ảnh đang đi trên xe?,Có hai người đang đi trên xe.
2435100235.csv,Người đàn ông phía trước mặc áo màu gì?,Người đàn ông phía trước mặc áo gile màu be nhạt.
2435100235.csv,Mái che của xe đạp có màu gì?,Mái che của xe đạp có màu đỏ.
2435100235.csv,Người đàn ông phía trước đang cầm vật gì?,Người đàn ông phía trước đang cầm một chiếc hộp.
2435100235.csv,Trong ảnh có tòa nhà không? Nếu có thì nó ở đâu?,"Có, trong ảnh có tòa nhà ở phía sau."
2435100235.csv,Người đàn ông đang làm gì trong ảnh?,Người đàn ông đang đạp xích lô.
2435100235.csv,Mái che của chiếc xích lô có màu gì?,Mái che của chiếc xích lô có màu đỏ.
2435100235.csv,Ai đang ngồi phía sau xích lô?,Một người đội mũ đỏ và mặc áo phông xám đang ngồi phía sau xích lô.
2435100235.csv,Người lái xích lô mặc áo màu gì?,Người lái xích lô mặc áo màu sáng.
2435100235.csv,Những gì có thể thấy ở phía sau ảnh?,Các tòa nhà có thể thấy ở phía sau ảnh.
2435100235.csv,Người đàn ông ở tiền cảnh đang đeo kính gì?,Kính râm.
2435100235.csv,Mấy người đàn ông xuất hiện trong ảnh?,Ba.
2435100235.csv,Màu sắc chủ đạo của mái che phía trên là gì?,Màu đỏ.
2435100235.csv,Người đàn ông phía sau mặc áo khoác màu gì?,Màu be.
2435100235.csv,Có tòa nhà nào trong ảnh không?,Có.
2435100235.csv,Người đàn ông đang làm gì trong ảnh?,Người đàn ông đang lái xe xích lô.
2435100235.csv,Hành khách trên xe xích lô mặc áo màu gì?,Một người mặc áo trắng.
2435100235.csv,Mái che của xe xích lô có màu gì?,Màu đỏ.
2435100235.csv,Có bao nhiêu hành khách ngồi trên xe xích lô?,Có hai hành khách.
2435100235.csv,Phía sau xe xích lô có gì?,Có một chiếc túi màu đỏ với chữ viết màu trắng.
2435100235.csv,Có bao nhiêu xe xích lô trong ảnh?,Có ít nhất hai xe xích lô trong ảnh.
2435100235.csv,Người đàn ông ở phía trước đang mặc trang phục gì?,"Người đàn ông ở phía trước đang mặc áo vest màu be nhạt, áo sơ mi trắng và quần jean xanh."
2435100235.csv,Mái che của xe xích lô phía sau có màu gì?,Mái che của xe xích lô phía sau có màu đỏ.
2435100235.csv,Trên tấm bạt màu đỏ của xe xích lô có chữ gì?,"Trên tấm bạt màu đỏ của xe xích lô có chữ ""To the Fun Tong""."
2435100235.csv,Hành khách trên xe xích lô phía sau đang làm gì?,"Hành khách trên xe xích lô phía sau dường như đang nhìn vào một thiết bị, có thể là điện thoại."
2435100235.csv,Người đàn ông trong ảnh đang mặc trang phục gì?,"Người đàn ông mặc áo sơ mi trắng, áo vest màu be và quần jean xanh."
2435100235.csv,Dòng chữ trên tấm bạt che của xe xích lô là gì?,"Dòng chữ trên tấm bạt là ""To the fun Tong""."
2435100235.csv,Tên công ty du lịch được in trên xe xích lô là gì?,"Tên công ty du lịch là ""Beijing Hutong Tourist Agency""."
2435100235.csv,Người đàn ông đang lái loại phương tiện gì?,Người đàn ông đang lái một chiếc xe xích lô.
2435100235.csv,Có bao nhiêu cửa sổ được nhìn thấy ở phía sau của bức ảnh?,Có hai cửa sổ được nhìn thấy ở phía sau.
2435100235.csv,Người đàn ông trong ảnh mặc áo gì?,Người đàn ông mặc áo sơ mi trắng và áo khoác ghi lê màu be.
2435100235.csv,Người đàn ông đang làm gì?,Người đàn ông đang đạp xe.
2435100235.csv,Trên thùng chở hàng phía sau xe đạp có chữ gì?,Trên thùng chở hàng có chữ 'To the fun Tour'.
2435100235.csv,Khu vực xung quanh trong ảnh có vẻ như thế nào?,Khu vực xung quanh có vẻ là khu đô thị với các tòa nhà bê tông màu xám.
2435100235.csv,Người đàn ông trong ảnh đang di chuyển theo hướng nào so với người xem?,Người đàn ông đang di chuyển ra xa người xem.
2435100235.csv,Người đàn ông đang đi xe đạp mặc áo khoác màu gì?,Áo khoác màu be nhạt.
2435100235.csv,Trên túi giao hàng có ghi những chữ gì?,To the fun Ton và chữ Hán.
2435100235.csv,Có bao nhiêu người mặc áo khoác trong ảnh?,Hai người.
2435100235.csv,Người đàn ông đi xe đạp đang mặc quần màu gì?,Quần màu xanh.
2435100235.csv,Chiếc xe đạp có giá đỡ màu gì ở phía sau?,Màu vàng.
2435100235.csv,Người trong ảnh đang làm gì?,Một người đang đi xe đạp.
2435100235.csv,Người đi xe đạp mặc những loại quần áo gì?,"Áo sơ mi trắng, áo khoác ghi và quần jean xanh."
2435100235.csv,Thùng đựng màu gì gắn phía sau xe đạp?,Màu đỏ.
2435100235.csv,Công trình phía sau người đi xe đạp được xây bằng vật liệu gì?,Gạch.
2435100235.csv,Có bao nhiêu người được nhìn thấy trong ảnh?,Hai người.
2435100235.csv,Người đàn ông đang mặc trang phục gì khi đạp xe?,Người đàn ông mặc áo vest màu sáng bên ngoài áo sơ mi trắng và quần jean xanh.
2435100235.csv,Màu sắc của chiếc xe kéo gắn vào xe đạp là gì?,Chiếc xe kéo có màu đỏ.
2435100235.csv,Có bao nhiêu cửa sổ có chấn song được nhìn thấy trong ảnh?,Có ba cửa sổ có chấn song được nhìn thấy trong ảnh.
2435100235.csv,Người đàn ông đạp xe đang đi hướng nào?,Người đàn ông đang đạp xe đi về phía trước theo góc nhìn trong ảnh.
2435100235.csv,"Ngoài người đạp xe đạp, còn có ai khác trong ảnh không?","Có, còn một người nữa mặc áo vest màu cam được nhìn thấy một phần ở phía trước."
2435100235.csv,Chiếc xích lô trong ảnh có màu gì?,Chiếc xích lô có màu đỏ.
2435100235.csv,Có bao nhiêu chiếc xích lô được nhìn thấy trong ảnh?,Có hai chiếc xích lô được nhìn thấy trong ảnh.
2435100235.csv,Tòa nhà trong nền ảnh có màu gì?,Tòa nhà trong nền ảnh có màu xám nhạt.
2435100235.csv,Có chữ gì trên chiếc xích lô?,Có chữ Trung Quốc trên chiếc xích lô.
2435100235.csv,Phía sau người đàn ông có gì?,Có một chiếc xe đẩy hoặc rơ moóc có tấm phủ màu đỏ.
2435100235.csv,Tòa nhà phía sau có đặc điểm gì?,Nó là một tòa nhà dài với nhiều cửa sổ.
2435100235.csv,Người đàn ông mặc trang phục gì?,"Anh ta mặc áo vest màu sáng, áo sơ mi trắng và quần jean xanh."
2435100235.csv,Cảnh trong ảnh diễn ra ở đâu?,Có vẻ như là một con phố hẹp hoặc ngõ nhỏ.
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Ông ấy đang đạp xe.
2435100235.csv,Có đồ vật màu đỏ nào trong ảnh không?,"Có, có một hộp giao hàng màu đỏ."
2435100235.csv,Hộp giao hàng được gắn vào phương tiện gì?,Hộp giao hàng được gắn vào một chiếc xe đạp hoặc phương tiện tương tự.
2435100235.csv,Bối cảnh trong ảnh là ở đâu?,"Bối cảnh trong ảnh là một môi trường đô thị, có các tòa nhà và tường."
2435100235.csv,Người đàn ông ở phía trước đang làm gì?,Anh ta đang đạp xe đạp.
2435100235.csv,Có bao nhiêu chiếc xích lô có thể nhìn thấy trong ảnh?,Có ba chiếc xích lô có thể nhìn thấy.
2435100235.csv,Mái che của xích lô có màu gì?,Mái che của xích lô có màu đỏ.
2435100235.csv,Con đường được lát bằng vật liệu gì?,Con đường được lát bằng đá hoặc một vật liệu cứng tương tự.
2435100235.csv,Người đàn ông đi xe đạp mặc áo gi lê màu gì?,Người đàn ông đi xe đạp mặc áo gi lê màu be.
2435100235.csv,Phương tiện nào có thùng giao hàng màu đỏ gắn phía sau?,Xe ba gác.
2435100235.csv,Người đàn ông ở trung cảnh mặc trang phục màu gì?,Áo ghi-lê màu sáng và quần jean xanh.
2435100235.csv,Có bao nhiêu xe ba gác có thể nhìn thấy trong ảnh?,Có ít nhất ba xe ba gác.
2435100235.csv,Dòng chữ nào được in trên thùng giao hàng màu đỏ?,To the Hut...
2435100235.csv,Khung cảnh trong ảnh có vẻ là ở khu vực nào?,Một con phố hoặc ngõ hẹp trong khu đô thị.
2435100235.csv,Người đi xe đạp mặc áo màu gì?,Người đi xe đạp mặc áo màu be.
2435100235.csv,Loại xe nào có mái che màu đỏ?,Xe xích lô có mái che màu đỏ.
2435100235.csv,Trên mái che của xe xích lô có gì?,Trên mái che của xe xích lô có các ký tự Trung Quốc.
2435100235.csv,Bức ảnh chụp ở đâu?,"Bức ảnh chụp trên đường phố, cạnh một bức tường màu xám."
2435100235.csv,Có bao nhiêu loại phương tiện được nhìn thấy trong ảnh?,Có hai loại phương tiện được nhìn thấy trong ảnh: xe đạp và xe xích lô.
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Anh ta đang đi xe đạp và chỉ tay về phía trước.
2435100235.csv,Có bao nhiêu xe xích lô được nhìn thấy trong ảnh?,Có thể thấy nhiều xe xích lô phía sau người đàn ông đi xe đạp.
2435100235.csv,Chữ viết trên mái che của xe xích lô gần nhất là gì?,"Chữ viết là ""To the Hutong"" và ""Beijing Hutong Tourist Agency""."
2435100235.csv,Những tòa nhà dọc theo phố được xây bằng vật liệu gì?,Các tòa nhà được xây bằng gạch xám.
2435100235.csv,Khung cảnh trong ảnh có thể là ở đâu?,"Có vẻ như là một khu du lịch hoặc khu phố cổ ở Bắc Kinh, có thể là một Hutong."
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Anh ta đang đạp xe đạp trên đường.
2435100235.csv,Mái che của xe xích lô phía trước có màu gì?,Màu đỏ.
2435100235.csv,Trên mái che của xe xích lô viết những gì?,"Viết ""To the Hutong"" bằng tiếng Anh và tiếng Trung."
2435100235.csv,Địa điểm trong ảnh có khả năng cao là ở đâu?,"Có khả năng cao là ở một Hutong tại Bắc Kinh, Trung Quốc."
2435100235.csv,"Ngoài người đàn ông đạp xe, có ai khác trong ảnh không?","Có, có nhiều người khác ở phía sau, một số đang ngồi trên xe xích lô."
2435100235.csv,Người đàn ông trong ảnh đang mặc trang phục gì?,"Người đàn ông đang mặc áo sơ mi trắng, quần jean xanh và áo khoác gile màu nâu nhạt."
2435100235.csv,Người đàn ông đang kéo loại phương tiện gì?,Người đàn ông đang kéo xe xích lô.
2435100235.csv,Trên tấm che của xe xích lô có dòng chữ gì bằng tiếng Anh?,"Trên tấm che của xe xích lô có dòng chữ ""To the Hu Tong""."
2435100235.csv,Tên của đơn vị quản lý xe xích lô là gì?,"Tên của đơn vị quản lý xe xích lô là ""Beijing Hutong Tourist Agency""."
2435100235.csv,Con hẻm trong ảnh có đặc điểm gì?,Con hẻm hẹp và có một bức tường gạch xám ở một bên.
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Người đàn ông đang đạp xe trên đường.
2435100235.csv,Xe xích lô có bao nhiêu bánh?,Xe xích lô có ba bánh.
2435100235.csv,Dòng chữ nào được in trên tấm bạt đỏ của xe xích lô?,Dòng chữ 'To the Hu Tong' được in trên tấm bạt đỏ.
2435100235.csv,Con phố trong ảnh có vẻ nằm ở đâu?,"Con phố có vẻ nằm ở Bắc Kinh, Trung Quốc."
2435100235.csv,Cái gì được viết bên cạnh dòng chữ 'To the hu Tong'?,Có ký tự tiếng Trung được viết bên cạnh dòng chữ 'To the hu Tong'.
2435100235.csv,Người đàn ông mặc áo màu gì đang đi xe đạp?,Người đàn ông mặc áo жилет màu be đang đi xe đạp.
2435100235.csv,Trên mái che của xe xích lô có viết gì?,"Trên mái che của xe xích lô có viết ""To the Hu Tong""."
2435100235.csv,Có bao nhiêu xe xích lô được nhìn thấy trong ảnh?,Có thể nhìn thấy ít nhất hai xe xích lô trong ảnh.
2435100235.csv,Xe xích lô thuộc công ty du lịch nào?,Xe xích lô thuộc công ty du lịch Beijing Huyong.
2435100235.csv,Người đàn ông đang đi xe đạp ở đâu?,Người đàn ông đang đi xe đạp trên một con phố hoặc ngõ hẹp.
2435100235.csv,Người đàn ông trong ảnh đang mặc trang phục gì?,"Anh ta mặc áo sơ mi trắng, áo gile màu be và quần jean xanh."
2435100235.csv,Dòng chữ tiếng Anh nào được viết trên thùng xe?,Dòng chữ 'To the Hutong' được viết trên thùng xe.
2435100235.csv,Có bao nhiêu phương tiện tương tự được nhìn thấy ở phía xa?,Có một vài phương tiện tương tự được nhìn thấy ở phía xa.
2435100235.csv,Bức tường ở bên trái đường được làm bằng vật liệu gì?,Bức tường được làm bằng gạch xám.
2435100235.csv,Hoạt động mà người đàn ông đang tham gia có thể là gì?,Có thể là một chuyến tham quan hoặc hoạt động du lịch.
2435100235.csv,Người đàn ông đang làm gì trong ảnh?,Người đàn ông đang đạp xe.
2435100235.csv,Những phương tiện giao thông nào xuất hiện trong ảnh?,Xe đạp và xích lô.
2435100235.csv,Trên xích lô có những dòng chữ gì?,Trên xích lô có dòng chữ 'To the fun Tour' và chữ Hán.
2435100235.csv,Người đàn ông mặc trang phục gì?,"Người đàn ông mặc quần jean xanh, áo sơ mi trắng và áo жилет màu nâu nhạt."
2435100235.csv,Bức ảnh có thể được chụp ở đâu?,"Bức ảnh có thể được chụp ở Bắc Kinh, Trung Quốc."
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Người đàn ông đang đi xe đạp và ra hiệu bằng tay phải.
2435100235.csv,Người đàn ông mặc trang phục gì?,"Người đàn ông mặc áo sơ mi trắng, quần jean xanh và áo vest màu be."
2435100235.csv,Có bao nhiêu chiếc xe xích lô trong ảnh?,Có ít nhất hai chiếc xe xích lô trong ảnh.
2435100235.csv,Hộp phía sau xe xích lô màu gì?,Hộp phía sau xe xích lô màu đỏ.
2435100235.csv,Các tòa nhà hai bên đường được làm bằng vật liệu gì?,Các tòa nhà hai bên đường được làm bằng gạch.
2435100235.csv,Người đàn ông ở phía trước mặc áo màu gì?,Người đàn ông ở phía trước mặc áo sơ mi trắng và áo ghi lê kaki.
2435100235.csv,Có bao nhiêu xe đạp được nhìn thấy trong ảnh?,Có một vài xe đạp được nhìn thấy trong ảnh.
2435100235.csv,Một số xe đạp có gì đặc biệt?,Một số xe đạp có thùng hoặc hộp màu đỏ gắn vào phía sau.
2435100235.csv,Bối cảnh xung quanh có những gì?,Bối cảnh xung quanh là đường phố và các tòa nhà.
2435100235.csv,Người đàn ông ở phía trước đang làm gì?,Người đàn ông ở phía trước đang đi xe đạp và vươn cánh tay ra.
2435100235.csv,Người đàn ông mặc áo màu gì?,Người đàn ông mặc áo sơ mi trắng và áo gile màu be.
2435100235.csv,Có những loại xe nào xuất hiện trong ảnh?,"Có xe đạp và một loại xe có mái che màu đỏ, có thể là xe xích lô hoặc xe ba gác chở hàng."
2435100235.csv,Chiếc xe đạp có chở thêm vật gì không?,"Có, xe đạp có chở một chiếc túi."
2435100235.csv,Bối cảnh chính của bức ảnh là ở đâu?,Bối cảnh chính là một con đường hoặc ngõ hẻm trong khu đô thị hoặc bán đô thị.
2435100235.csv,Người đàn ông mặc những loại quần áo gì?,"Người đàn ông mặc áo sơ mi trắng, quần jean xanh và áo gile màu be."
2435100235.csv,Phía xa của con phố có phương tiện gì?,Phía xa có một chiếc xe xích lô hoặc xe kéo.
2435100235.csv,Hai bên đường có gì?,Hai bên đường có tường gạch.
2435100235.csv,Ánh sáng trong ảnh cho thấy thời điểm nào trong ngày?,Ánh sáng cho thấy là ban ngày.
2435100235.csv,Người đàn ông mặc quần áo màu gì?,"Người đàn ông mặc áo polo trắng, áo жи lê màu be và quần jean xanh."
2435100235.csv,Mái che của xe xích lô có màu gì?,Mái che của xe xích lô có màu đỏ.
2435100235.csv,Bức tường bên cạnh con phố được xây bằng vật liệu gì?,Bức tường được xây bằng gạch xám.
2435100235.csv,"Trong ảnh, người đàn ông đang cầm vật gì trên tay?",Người đàn ông đang cầm kính trên tay.
2435100235.csv,Người đàn ông trong ảnh mặc áo màu gì?,Người đàn ông mặc áo sơ mi trắng và áo khoác ngoài màu nâu nhạt.
2435100235.csv,Người đàn ông đang làm gì?,Người đàn ông đang đi bộ và kéo một chiếc xe.
2435100235.csv,Chiếc xe mà người đàn ông kéo có màu gì?,Chiếc xe có tấm che màu đỏ.
2435100235.csv,Bức ảnh được chụp ở đâu?,Bức ảnh được chụp trên một con phố hoặc ngõ hẹp có tường cao.
2435100235.csv,Thời gian trong ngày được chụp ảnh là khi nào?,Thời gian trong ngày là ban ngày.
2435100235.csv,Phương tiện mà người đàn ông đang sử dụng là gì?,Người đàn ông đang sử dụng xe ba gác.
2435100235.csv,Màu sắc của thùng hàng gắn trên xe ba gác là gì?,Thùng hàng có màu đỏ.
2435100235.csv,Bức tường bên cạnh người đàn ông được làm bằng vật liệu gì?,Bức tường được làm bằng gạch.
2435100235.csv,Người đàn ông đang làm gì với tay của mình?,Người đàn ông đang vươn tay ra phía bên cạnh.
2435100235.csv,Anh ta đang cầm vật gì trên tay?,Anh ta đang cầm một cặp kính trên tay.
2435100235.csv,Anh ta đang đi bằng phương tiện gì?,Anh ta đang đi xe đạp.
2435100235.csv,Phía trước người đàn ông đi xe đạp có gì?,Phía trước người đàn ông là một người khác trên một loại xe nào đó có gắn một chiếc ô lớn màu đỏ.
2435100235.csv,"Ngoài hai người đàn ông, còn có người nào khác trong ảnh không?","Có, có một người và xe đẩy của anh ta ở đằng xa."
2435100235.csv,Người đàn ông trong ảnh đang mặc gì?,"Người đàn ông mặc áo sơ mi trắng, áo gile màu be và quần jean xanh."
2435100235.csv,Có màu gì trên chiếc hộp gắn sau xe đạp?,Chiếc hộp có màu đỏ và có logo màu trắng.
2435100235.csv,Bối cảnh phía sau người đàn ông là gì?,Bối cảnh là một bức tường gạch ở một bên và một tòa nhà có tường màu xám ở phía bên kia.
2435100235.csv,"Ngoài xe đạp của người đàn ông, còn có phương tiện gì khác ở phía xa không?","Có, có thể thấy các phương tiện hoặc xe khác ở phía xa."
2435100235.csv,Người đàn ông trong ảnh đang làm gì?,Anh ấy đang lái xe xích lô.
2435100235.csv,Người đàn ông mặc trang phục gì?,"Anh ấy mặc áo sơ mi trắng, áo khoác ghi lê màu be và quần jean xanh."
2435100235.csv,Chiếc xích lô có màu gì?,Chiếc xích lô có màu đỏ.
